timestamp,MAGNIFICENT_MACARONS,TRANSPORT_FEES,EXPORT_TARIFFS,IMPORT_TARIFF,SUGAR_PRICE,SUNLIGHT_INDEX
0,627.75,1,9,-3,200,60
100,630.75,1,9,-3,200.0984454,60
200,630.75,1,9,-3,200.1039148,60
300,632.75,1,9,-3,200.3524618,60.01
400,631.25,1,9,-3,200.2015446,60.01
500,634.75,1,9,-3,200.5331862,60.01
600,634.25,1,9,-3,200.5273365,60.02
700,633.25,1,9,-3,200.8403459,60.02
800,634.75,1,9,-3,200.9150882,60.02
900,633.25,1,9,-3,200.6624438,60.02
1000,633.75,1,9,-3,200.5044354,60.02
1100,635.25,1,9,-3,200.6643695,60.03
1200,635.25,1,9,-3,200.8335424,60.03
1300,633.25,1,9.5,-3,200.701769,60.03
1400,634.25,1,9.5,-3,200.9650645,60.04
1500,635.25,1,9.5,-3,200.9915366,60.04
1600,637.25,1,9.5,-3,201.226257,60.04
1700,642.25,1,9.5,-3,201.3688569,60.04
1800,643.75,1,9.5,-3,201.4394136,60.04
1900,643.25,1,9.5,-3,201.1060397,60.05
2000,644.75,1,9.5,-3,201.0934547,60.05
2100,644.25,1,9.5,-3,201.078263,60.05
2200,644.75,1,9.5,-3,200.8993863,60.06
2300,644.25,1,9.5,-3,200.804399,60.06
2400,646.75,1,9.5,-3,200.8253301,60.06
2500,651.25,1,9.5,-3,201.1971955,60.06
2600,653.25,1,9.5,-3,201.2758462,60.06
2700,653.25,1,9.5,-3,201.4289758,60.07
2800,656.75,1,9.5,-3,201.7071217,60.07
2900,660.75,1,9.5,-3,201.9814593,60.07
3000,655.75,1,9.5,-3,201.4816004,60.08
3100,655.75,1,9.5,-3,201.4333422,60.08
3200,657.25,1,9.5,-3,201.5124598,60.08
3300,659.75,1,9.5,-3,201.5831013,60.08
3400,663.75,1,9.5,-3,201.6993779,60.08
3500,665.75,1,9.5,-3,201.9533945,60.09
3600,665.25,1,9.5,-3,201.9074566,60.09
3700,667.75,1,9.5,-3,201.8901794,60.09
3800,665.75,1,9.5,-3,201.550519,60.1
3900,666.75,1,9.5,-3,201.553468,60.1
4000,672.25,1,9.5,-3,202.0029105,60.1
4100,674.25,1,9.5,-3,202.1259144,60.1
4200,673.75,1,9.5,-3,202.1702052,60.1
4300,670.75,1,9.5,-3,202.0088117,60.11
4400,673.75,1,9.5,-3,202.2724053,60.11
4500,671.75,1,9.5,-3,202.3126872,60.11
4600,671.75,1,9.5,-3,202.0938284,60.12
4700,673.25,1,9.5,-3,202.3337656,60.12
4800,673.25,1,9.5,-3,202.7305019,60.12
4900,673.5,1,9.5,-3,202.5743672,60.12
5000,669.75,1,9.5,-3,202.4911715,60.12
5100,669.25,1,9.5,-3,202.3493148,60.13
5200,669.25,1,9.5,-3,202.217117,60.13
5300,671.25,1,9.5,-3,202.3675461,60.13
5400,669.25,1,9.5,-3,202.338228,60.14
5500,669.25,1,9.5,-3,202.1885415,60.14
5600,671.75,1,9.5,-3,202.2403604,60.14
5700,670.75,1,9.5,-3,202.2203605,60.14
5800,669.75,1,9.5,-3,202.0049668,60.14
5900,671.75,1,9.5,-3,202.1532421,60.15
6000,670.25,1,9.5,-3,202.0633821,60.15
6100,671.25,1,9.5,-3,202.1118885,60.15
6200,670.25,1,9.5,-3,201.916647,60.16
6300,667.25,1,9.5,-3,201.9093124,60.16
6400,666.75,1,9.5,-3,201.8592995,60.16
6500,664.75,1,9.5,-3,201.8242527,60.16
6600,662.25,1,9.5,-3,201.7812087,60.16
6700,658.25,1,9.5,-3,201.7163404,60.17
6800,660.25,1,9.5,-3,202.0199588,60.17
6900,661.25,1,9.5,-3,202.1007339,60.17
7000,658.75,1,9.5,-3,202.1054599,60.18
7100,657.75,1,9.5,-3,201.953379,60.18
7200,655.25,1,9.5,-3,201.7121,60.18
7300,654.25,1,9.5,-3,201.6999451,60.18
7400,651.75,1,9.5,-3,201.60404,60.18
7500,653.75,1,9.5,-3,201.7535245,60.19
7600,652.25,1,9.5,-3,201.6761958,60.19
7700,652.25,1,9.5,-3,201.6195278,60.19
7800,652.75,1,9.5,-3,201.8175127,60.2
7900,649.75,1,9.5,-3,201.7441317,60.2
8000,646.25,1,9.5,-3,201.6919248,60.2
8100,648.75,1,9.5,-3,201.8282212,60.2
8200,644.25,1,9.5,-3,201.5566733,60.2
8300,648.75,1,9.5,-3,201.7614683,60.21
8400,647.25,1,9.5,-3,201.6277673,60.21
8500,643.75,1,9.5,-3,201.4650274,60.21
8600,640.25,1,9.5,-3,201.4397834,60.22
8700,640.25,1,9.5,-3,201.397478,60.22
8800,637.25,1,9.5,-3,201.0821303,60.22
8900,636.75,1,9.5,-3,200.9042339,60.22
9000,635.75,1,9.5,-3,200.7670526,60.22
9100,637.25,1,9.5,-3,200.8964586,60.23
9200,637.75,1,9.5,-3,200.9502622,60.23
9300,637.25,1,9.5,-3,200.8875582,60.23
9400,637.75,1,9.5,-3,201.0662172,60.24
9500,637.75,1,9.5,-3,201.3512244,60.24
9600,633.75,1,9.5,-3,201.030677,60.24
9700,631.25,1,9.5,-3,200.774187,60.24
9800,632.75,1,9.5,-3,200.7280403,60.24
9900,628.25,1,9.5,-3,200.5391621,60.25
10000,628.25,1,9.5,-3,200.5162913,60.25
10100,627.75,1,9.5,-3,200.2698192,60.25
10200,626.25,1,9.5,-3,200.1148064,60.26
10300,624.75,1,9.5,-3,200.1245438,60.26
10400,629.25,1,9.5,-3,200.2643671,60.26
10500,625.75,1,9.5,-3,199.8987342,60.26
10600,625.75,1,9.5,-3,199.5853477,60.26
10700,627.25,1,9.5,-3,199.4563614,60.27
10800,625.25,1,9.5,-3,199.2634534,60.27
10900,623.25,1,9.5,-3,198.8999596,60.27
