timestamp,MAGNIFICENT_MACARONS,TRANSPORT_FEES,EXPORT_TARIFFS,IMPORT_TARIFF,SUGAR_PRICE,SUNLIGHT_INDEX
0,657.75,1.4,10.5,-4,209,65
100,661.25,1.4,10.5,-4,209.2992987,65
200,664.75,1.4,10.5,-4,209.4671132,65
300,669.75,1.4,10.5,-4,209.5255919,65
400,674.25,1.4,10.5,-4,209.5973329,65
500,673.25,1.4,10.5,-4,209.66678,65.01
600,670.25,1.4,10.5,-4,209.5327927,65.01
700,669.25,1.4,10.5,-4,209.5338756,65.01
800,666.25,1.4,10.5,-4,209.5169094,65.01
900,666.25,1.4,10.5,-4,209.3560523,65.01
1000,664.75,1.4,10.5,-4,209.4340189,65.01
1100,662.25,1.4,10.5,-4,209.2011393,65.01
1200,665.25,1.4,10.5,-4,209.3916019,65.02
1300,667.75,1.4,10.5,-4,209.3889703,65.02
1400,664.25,1.4,10.5,-4,209.1954123,65.02
1500,664,1.4,10.5,-4,209.0182214,65.02
1600,663.75,1.4,10.5,-4,209.1490887,65.02
1700,666.75,1.4,10.5,-4,209.5967505,65.02
1800,669.75,1.4,10.5,-4,209.7395613,65.02
1900,667.25,1.4,10.5,-4,209.4790971,65.02
2000,670.25,1.4,10.5,-4,209.6837948,65.03
2100,671.25,1.4,10.5,-4,209.6472945,65.03
2200,673.25,1.4,10.5,-4,209.6533168,65.03
2300,674.25,1.4,10.5,-4,209.6901556,65.03
2400,679.25,1.4,10.5,-4,209.8933552,65.03
2500,677.75,1.4,10.5,-4,209.7634125,65.03
2600,677.75,1.4,10.5,-4,209.8947533,65.03
2700,678.25,1.4,10.5,-4,209.9774111,65.03
2800,679.25,1.4,10.5,-4,210.3745227,65.04
2900,675.75,1.4,10.5,-4,210.1606624,65.04
3000,675.25,1.4,10.5,-4,210.2697456,65.04
3100,676.75,1.4,10.5,-4,210.6334902,65.04
3200,670.75,1.4,10.5,-4,210.4437177,65.04
3300,668.25,1.4,10.5,-4,210.2534485,65.04
3400,668.25,1.4,10.5,-4,210.2864276,65.04
3500,668.25,1.4,10.5,-4,209.967396,65.04
3600,670.25,1.4,10.5,-4,210.0032506,65.04
3700,671.25,1.4,10.5,-4,210.1177632,65.05
3800,671.25,1.4,10.5,-4,210.1215336,65.05
3900,671.25,1.4,10.5,-4,209.9491868,65.05
4000,671.25,1.4,10.5,-4,209.8046617,65.05
4100,675.75,1.4,10.5,-4,209.8219527,65.05
4200,678.25,1.4,10.5,-4,209.955194,65.05
4300,678.75,1.4,10.5,-4,209.8192396,65.05
4400,675.75,1.4,10.5,-4,209.7268226,65.06
4500,675.5,1.4,10.5,-4,209.8701653,65.06
4600,681.75,1.4,10.5,-4,210.2076933,65.06
4700,678.75,1.4,10.5,-4,210.0246493,65.06
4800,683.75,1.5,10.5,-4,210.145576,65.06
4900,685.25,1.5,10.5,-4,210.1548566,65.06
5000,685.25,1.5,10.5,-4,210.1040548,65.06
5100,684.25,1.5,10.5,-4,210.0085997,65.06
5200,686.75,1.5,10.5,-4,210.0322662,65.06
5300,687.25,1.5,10.5,-4,210.0956874,65.07
5400,688.75,1.5,10.5,-4,209.9236402,65.07
5500,688.25,1.5,10.5,-4,209.8011276,65.07
5600,683.25,1.5,10.5,-4,209.7075385,65.07
5700,682.75,1.5,10.5,-4,209.6776167,65.07
5800,681.75,1.5,10.5,-4,209.5775682,65.07
5900,681.25,1.5,10.5,-4,209.6689282,65.07
6000,683.25,1.5,10.5,-4,209.8100894,65.08
6100,679.75,1.5,10.5,-4,209.6353984,65.08
6200,677.25,1.5,10.5,-4,209.3927353,65.08
6300,679.75,1.5,10.5,-4,209.4189047,65.08
6400,679.75,1.5,10.5,-4,209.3290946,65.08
6500,678.75,1.5,10.5,-4,209.17315,65.08
6600,677.25,1.5,10.5,-4,209.3462353,65.08
6700,677.75,1.5,10.5,-4,209.5080668,65.08
6800,679.25,1.5,10.5,-4,209.5888769,65.08
6900,683.75,1.5,10.5,-4,209.8513405,65.09
7000,679.25,1.5,10.5,-4,209.7167015,65.09
7100,677.75,1.5,10.5,-4,209.5689814,65.09
7200,674.75,1.5,10.5,-4,209.5885154,65.09
7300,669.25,1.5,10.5,-4,209.5180844,65.09
7400,666.25,1.5,10.5,-4,209.3388549,65.09
7500,668.75,1.5,10.5,-4,209.4707233,65.09
7600,667.75,1.5,10.5,-4,209.7852728,65.1
7700,666.75,1.5,10.5,-4,209.634515,65.1
7800,665.75,1.5,10.5,-4,209.6176372,65.1
7900,665.25,1.5,10.5,-4,209.5335554,65.1
8000,665.75,1.5,10.5,-4,209.7225007,65.1
8100,663.25,1.5,10.5,-4,209.3303609,65.1
8200,662.25,1.5,10.5,-4,209.3406932,65.1
8300,659.75,1.5,10.5,-4,209.3081695,65.1
8400,659.25,1.5,10.5,-4,209.4496532,65.1
8500,653.75,1.5,10.5,-4,209.378157,65.11
8600,653.75,1.5,10.5,-4,209.3486541,65.11
8700,649.75,1.5,10.5,-4,209.4235604,65.11
8800,652.25,1.5,10.5,-4,209.6830398,65.11
8900,650.25,1.5,10.5,-4,209.457953,65.11
9000,651.25,1.5,10.5,-4,209.6879815,65.11
9100,651,1.5,10.5,-4,209.6266833,65.11
9200,655.25,1.5,10.5,-4,209.8626664,65.11
